programme_code,programme_name,faculty,department
5_2_4,Modern Technologies,Science & Engineering,Modern Technologies
5_2_6,Mycelial Cultivation and Biotech,Science & Engineering,Modern Technologies
2_2_4,Illustration,"Craft, Art & Architecture",Art
5_3_7,Biology,Science & Engineering,Sciences
3_4_8,Ritual and Recollection,Culture & Social Sciences,Philosophy and Religion
2_2_2,Cyanophotography and Printmaking,"Craft, Art & Architecture",Art
5_2_5,Multi-system Technology,Science & Engineering,Modern Technologies
4_1_3,Intergenerational Learning,Health & Education,Education
3_5_10,Economics,Culture & Social Sciences,Politics & Economics
3_4_7,Philosophy of Religion and Ethics,Culture & Social Sciences,Philosophy and Religion
4_2_12,Somatic Wellbeing Enquiry,Health & Education,Health
1_1_2,Business Management,Business & Law School,Business
3_2_2,History,Culture & Social Sciences,History
3_3_5,Multispecies Linguistics,Culture & Social Sciences,Languages
2_4_12,Space Design,"Craft, Art & Architecture",Design
4_2_4,Herbal Practice and Energy Work,Health & Education,Health
5_3_9,Chemistry,Science & Engineering,Sciences
3_5_9,Conflict Transformation,Culture & Social Sciences,Politics & Economics
3_5_11,Elven Ethics in Modern Governance,Culture & Social Sciences,Politics & Economics
4_1_1,Education Studies,Health & Education,Education
4_1_2,Educational Mentorship,Health & Education,Education
4_2_5,Integrated Mind-Body,Health & Education,Health
2_2_6,Music,"Craft, Art & Architecture",Art
3_6_15,Sociology,Culture & Social Sciences,Psychology & Sociology
1_2_1,Law,Business & Law School,Law
2_3_7,Artefact Restoration,"Craft, Art & Architecture",Craft
4_2_8,Occupational Therapy,Health & Education,Health
5_3_10,Environmental Science,Science & Engineering,Sciences
3_1_1,Geography,Culture & Social Sciences,Geography
2_1_1,Architecture,"Craft, Art & Architecture",Architecture
5_1_2,Mechanical Engineering,Science & Engineering,Engineering
2_4_10,Fashion Design,"Craft, Art & Architecture",Design
2_2_5,Media Studies,"Craft, Art & Architecture",Art
2_2_3,Fine Art,"Craft, Art & Architecture",Art
4_2_6,Midwifery,Health & Education,Health
2_3_8,Brewcraft and Fermentation Systems,"Craft, Art & Architecture",Craft
5_1_3,Systems Engineering,Science & Engineering,Engineering
3_4_6,Ceremonies,Culture & Social Sciences,Philosophy and Religion
5_3_11,Mathematics,Science & Engineering,Sciences
3_3_3,Languages and Literature,Culture & Social Sciences,Languages
3_5_12,Narrative Governance and Institution Building,Culture & Social Sciences,Politics & Economics
1_1_3,Entrepreneurship and Trade,Business & Law School,Business
2_3_9,Precision Smithing and Design,"Craft, Art & Architecture",Craft
3_5_13,Politics and Relations,Culture & Social Sciences,Politics & Economics
3_6_14,Psychology,Culture & Social Sciences,Psychology & Sociology
5_3_8,Biomedical Science,Science & Engineering,Sciences
4_2_11,Social Work,Health & Education,Health
2_4_11,Graphic Design,"Craft, Art & Architecture",Design
4_2_7,Nursing and Care,Health & Education,Health
1_1_1,Accounting & Finance,Business & Law School,Business
1_1_4,Hospitality and Tourism Management,Business & Law School,Business
4_2_10,Physiotherapy,Health & Education,Health
1_1_5,Person Resource Management,Business & Law School,Business
4_2_9,Pharmacy,Health & Education,Health
5_3_12,Physics,Science & Engineering,Sciences
