programme_code,programme_name,faculty,department,description,social_intensity,practical_theoretical_balance,stress_level,career_prospects,academic_difficulty,creativity_requirement,leadership_opportunities,research_intensity,community_engagement,innovation_focus,modules_y1_count,modules_y2_count,modules_y3_count,modules_y1,modules_y2,modules_y3
1.3.9,Artefact Restoration,Faculty of Applied Forging,Forge Arts and Metallurgy,Specialist programme in the ethical conservation and restoration of historical artefacts across materials.,0.5,0.78,0.55,0.65,0.65,0.7,0.4,0.65,0.5,0.55,2,3,2,Reading the Object: Material Histories and Markings; Principles of Conservation and Ethical Restoration,"Techniques for Metal, Wood, and Mixed Materials; Fieldwork: Documenting and Mapping Lost Techniques; Cultural Entanglements in Artefact Recovery",Capstone: Restore a Historical Object (with Archive Companion); Speculative Restoration: Imagining Futures from Fragments
1.2.4,Earth-Aligned Agriculture,Faculty of Applied Forging,Food and Sustenance Technologies,Sustainable agriculture and land stewardship,0.6,0.9,0.3,0.8,0.4,0.5,0.6,0.4,0.8,0.7,3,3,3,"Foundations of Permaculture and Ecological Design; Soil as System: Chemistry, Life, and Lore; Agroecology in Practice",Seasonal Cycles and Climate-Resilient Cropping; Agroforestry and Companion Planting; Land Stewardship and the Commons,"Community-Supported Agriculture Models; Capstone: Design a Regenerative Micro-Farm; Policy, Power, and the Future of Food"
1.3.8,Hammercraft,Faculty of Applied Forging,Forge Arts and Metallurgy,"Intensive hands-on programme in traditional hammer forging, rhythm, and embodied metal practice.",0.4,0.92,0.5,0.68,0.52,0.62,0.35,0.25,0.45,0.52,2,3,2,"Hammer as Pedagogue: Rhythm, Impact, Intent; Embodied Skills Lab: Holding, Striking, Shaping","Advanced Techniques: Folded Steel, Damascus, Etching; The Forge as Ritual Space; Apprenticeship Studio: Teaching Through Craft",Capstone: Performative Craft and the Public Forge; History and Philosophy of the Hammered Object
2.2.18,Herbal Practice and Energy Work,Faculty of Applied Forging,Healing and Embodied Knowledge,Traditional herbal medicine and energy healing,0.6,0.7,0.3,0.6,0.4,0.5,0.4,0.3,0.7,0.4,2,3,3,"Plant Allies: Identification, Ethics, and Harvesting; Introduction to Energy Work: Hands, Breath, Field","Herbal Preparations: Teas, Salves, and Tinctures; Elemental Correspondences in Healing; Practicum: Healing in Community Contexts",Capstone: Design a Personal or Communal Apothecary; Energetic Boundaries and Practitioner Resilience; Rewilding the Self: Herbal Knowledge
1.4.11,"Hydraulics, Heuristics & Harmonics",Faculty of Applied Forging,Mechanics and Engineering,"Experimental engineering programme exploring fluid dynamics, acoustic structures, and intuitive design.",0.45,0.75,0.6,0.65,0.68,0.7,0.45,0.55,0.4,0.72,3,3,2,"Water, Flow, and the Shaping of Matter; Introduction to Heuristics: Intuition in Systems Design; Sound and Structure: Principles of Harmonics","Hydraulic Logic: Pressure, Pulse, and Purpose; Experimental Heuristics: Trial, Error, and Adaptation; Acoustic Architecture and Vibrational Engineering","Capstone: Multisensory Systems Design (Water, Sound, Motion); Philosophy of Flow: Tribal, Dwarven, and Ecological Perspectives"
1.5.13,Living Stone Architecture,Faculty of Applied Forging,Stonework and Structural Alchemy,"Architecture programme grounded in organic form, stone lore, sacred geometry, and ecosystem-aligned building.",0.55,0.78,0.6,0.7,0.65,0.82,0.55,0.5,0.65,0.75,3,3,3,Principles of Stone Lore and Material Memory; Sacred Geometry and Form; Drawing and Modelling in Organic Structures,"Foundation Techniques: Earth, Time, and Load; Adaptive Architecture: Growing with Place; Working With Living Rock and Elemental Consent",Capstone: Design and Construct a Habitat Aligned with Ecosystem Needs; Regenerative Ruins: Architecture Across Time; Stone as Story: Embedding Meaning into Form
1.4.10,Logic & Leverage (Systems Engineering),Faculty of Applied Forging,Mechanics and Engineering,"Systems engineering programme integrating logical analysis, mechanical design, and emergent complexity.",0.5,0.72,0.65,0.8,0.72,0.6,0.65,0.6,0.45,0.75,3,3,3,"Foundations of Systems Thinking; Logic and Pattern Recognition; Machines, Mechanisms, and Leverage","Complex Systems and Emergent Behaviour; Modelling Tools: Diagrams, Simulations, and Sand Tables; Ethics in Infrastructure and Innovation","Capstone: Design a Regenerative Systems Intervention; Feedback, Control, and Agency; Power, Failure, and Resilience in Engineered Systems"
1.5.14,Maintenance Rituals for Ancient Systems,Faculty of Applied Forging,Stonework and Structural Alchemy,"Specialist programme in the care, ritual maintenance, and cultural stewardship of ancient built systems.",0.55,0.82,0.5,0.58,0.58,0.58,0.45,0.55,0.65,0.48,2,3,2,"Histories of Dwarven Infrastructure; Listening to the System: Scent, Sound, Shift","Tools of Maintenance: Hammer, Song, and Seal; Ritual Practices in Preventative Architecture; Repairing with Respect: Cultural Protocols for Care",Capstone: Restore or Re-invent an Ancient System; Ritual Futures: Designing for Durable Complexity
1.2.5,Mycelial Cultivation and Biotech,Faculty of Applied Forging,Food and Sustenance Technologies,Fungal cultivation and biological technology,0.5,0.7,0.5,0.8,0.6,0.7,0.5,0.6,0.6,0.8,2,3,2,Introduction to Fungal Kingdoms; Growing Mediums and Spore Cultivation,"Lab Methods for Mycology and Biofabrication; Fungi in Soil Health and Ecosystem Repair; Mycelium as Material: Packaging, Building, Healing",Capstone: Biotech Solutions with Mycelial Systems; Ethics and Entanglements in Biotech Innovation
1.1.3,Pedagogies of the Hand,Faculty of Applied Forging,Community Labour & Cooperative Innovation,Hands-on learning and craft-based education,0.7,0.8,0.4,0.7,0.5,0.6,0.5,0.3,0.7,0.6,2,2,3,Learning Through Making: Foundations; Embodied Knowledge and Apprenticeship Models,Tactile Thinking and Material Pedagogies; Workshop as Classroom: Designing Learning Environments,Teaching as Craft: Mentorship and Scaffolding; Capstone Project: Designing a Maker-Education Programme; Ethics and Politics of Manual Learning
1.3.7,Precision Smithing and Design,Faculty of Applied Forging,Forge Arts and Metallurgy,"Advanced craft programme developing precision metalwork, design methodology, and technical mastery.",0.45,0.9,0.55,0.75,0.65,0.75,0.45,0.4,0.4,0.7,3,3,3,"Fundamentals of Metal and Flame; Tools, Temperatures, and Techniques; Drawing, Modelling, and Material Thinking","Alloy Theory and Practical Metallurgy; Forging for Fit: Joints, Hinges, and Mechanisms; Form and Function: Design Studio I","Design Studio II: Commissions and Constraints; Capstone: Precision Artefact for Client or Cause; Ethics in Craft, Ownership, and Replication"
2.4.26,Ancient Rites,Faculty of Hearth and Transformation,"Rites, Rest, and Renewal","Scholarly and embodied study of historical rites across Elven, Dwarven, and other traditions.",0.75,0.6,0.45,0.45,0.6,0.72,0.55,0.65,0.75,0.55,2,3,3,"Rites of the Ancients: Elven, Dwarven, and Beyond; Reading Ritual Traces in Landscape and Object","Reconstructing Ceremony: Inference, Integrity, Imagination; Embodied Practice: Chants, Tools, Gestures; Ritual Language and Sacred Scripts","Capstone: Design a Rite Rooted in Place and Lineage; Living Rites: Revival, Adaptation, and Resistance; Archive as Altar: Preservation and Continuation of Rites"
2.1.17,"Care, Craft and Continuity",Faculty of Hearth and Transformation,"Education, Eldership, and Mentoring","Care work, craft traditions, and cultural continuity",0.8,0.7,0.6,0.6,0.4,0.5,0.5,0.3,0.9,0.4,2,3,3,Theories of Care: Interdependence and Responsibility; Craft as Teaching: Making with Meaning,"Intergenerational Practice: Elderhood and Youth Wisdom; Continuity in Fragile Systems: Ritual, Routine, Rehearsal; Cultivating Presence Through Slow Making",Capstone: Weaving a Continuity Practice for a Community; Designing Care-Centred Institutions; Understanding Through Witnessing and Storycatching
2.4.24,Ceremonies,Faculty of Hearth and Transformation,"Rites, Rest, and Renewal","Practice-based programme in the design, facilitation, and ethics of ceremonial and ritual forms.",0.85,0.65,0.45,0.5,0.55,0.8,0.65,0.45,0.82,0.65,2,3,3,"What Is a Ceremony? Structures, Symbols, Intentions; Elements of Ritual: Object, Word, Movement, Space","Ceremonies of Passage: Birth, Death, Thresholds; Designing with Sensory Awareness; The Role of Witnesses and Co-Creators",Capstone: Design and Facilitate a Public Ceremony; Ceremony in Activism and Social Change; Ethics of Cultural Borrowing and Ancestral Respect
2.2.20,Dreaming and Somatic Inquiry,Faculty of Hearth and Transformation,Healing and Embodied Knowledge,"Embodied inquiry programme exploring dreamwork, somatic practice, and the body as knowledge archive.",0.65,0.6,0.4,0.45,0.55,0.82,0.4,0.5,0.55,0.68,2,3,3,Dreamtime Foundations: Personal and Cultural Archetypes; Introduction to Somatic Inquiry Methods,"Recording and Mapping the Dream Body; Night as Pedagogue: Sleep, Memory, Imagination; Guided Movement and Embodied Dream Reenactment",Capstone: Dream Inquiry Portfolio or Performance; Cross-Cultural Perspectives on Dream Work; Dreaming in Systems: Collective Unconscious and Social Change
